directed_rnbrw,backtrack,directed_cycle,zigzag,zigzag_cycle,weighted_zigzag
0.01,1.01,5.01,3.01,24.009999999999998,0.7126315789473683
1.01,2.01,4.01,0.01,18.009999999999998,0.51
2.01,1.01,4.01,2.01,12.01,0.9709158815041168
2.01,0.01,5.01,0.01,14.01,1.0194919599456804
1.01,0.01,5.01,3.01,14.01,0.966704980842912
0.01,0.01,3.01,1.01,19.009999999999998,1.60245337995338
1.01,0.01,5.01,1.01,19.009999999999998,0.6964668856048166
0.01,1.01,4.01,2.01,22.009999999999998,0.9074317349317349
0.01,0.01,1.01,0.01,17.009999999999998,0.8559988540870893
0.01,2.01,3.01,2.01,10.01,0.677156862745098
0.01,1.01,9.01,0.01,11.01,0.709903779795084
0.01,1.01,4.01,1.01,16.009999999999998,0.7378461734344088
0.01,1.01,8.01,0.01,18.009999999999998,0.7464750445632798
1.01,2.01,4.01,1.01,14.01,0.3179545454545455
2.01,1.01,10.01,1.01,14.01,1.3112377141914344
0.01,2.01,4.01,1.01,8.01,0.9590741559781808
0.01,0.01,4.01,0.01,16.009999999999998,1.8308952882865923
1.01,0.01,5.01,0.01,14.01,1.5265826032205343
4.01,1.01,7.01,4.01,14.01,0.8450396825396825
0.01,0.01,5.01,1.01,10.01,0.7872759103641456
0.01,0.01,4.01,0.01,14.01,1.0740002970885325
1.01,0.01,3.01,1.01,13.01,1.3886647992530345
2.01,0.01,4.01,1.01,13.01,1.3912289933464639
0.01,0.01,7.01,1.01,21.009999999999998,1.416987368085766
0.01,1.01,4.01,0.01,16.009999999999998,0.3400976800976801
1.01,0.01,3.01,2.01,17.009999999999998,1.309837429595494
0.01,0.01,6.01,2.01,11.01,0.9712665112665112
2.01,1.01,7.01,0.01,7.01,0.9742537901870505
3.01,2.01,11.01,3.01,15.01,1.0997814603696958
0.01,0.01,14.01,0.01,21.009999999999998,1.3882106782106782
1.01,1.01,17.009999999999998,2.01,19.009999999999998,2.1846753246753248
1.01,0.01,21.009999999999998,4.01,14.01,1.277099567099567
0.01,1.01,9.01,5.01,10.01,1.520144927536232
0.01,1.01,10.01,1.01,20.009999999999998,1.6151605257487611
1.01,0.01,14.01,2.01,9.01,1.4398035298035299
0.01,0.01,11.01,2.01,17.009999999999998,0.71
0.01,0.01,18.009999999999998,2.01,15.01,1.2004329004329004
0.01,0.01,15.01,3.01,22.009999999999998,1.0718255998051394
0.01,1.01,10.01,0.01,17.009999999999998,0.6805128205128206
11.01,2.01,11.01,3.01,13.01,1.1778571428571427
0.01,2.01,15.01,0.01,17.009999999999998,0.27025641025641023
2.01,1.01,11.01,1.01,18.009999999999998,0.23272727272727275
0.01,3.01,13.01,0.01,18.009999999999998,1.0598067767910075
0.01,0.01,15.01,0.01,15.01,1.217175177763413
1.01,2.01,12.01,0.01,16.009999999999998,2.4022388913768222
0.01,0.01,17.009999999999998,1.01,7.01,0.3445238095238095
0.01,0.01,0.01,0.01,18.009999999999998,0.8657900432900433
0.01,0.01,10.01,0.01,17.009999999999998,1.1362433862433863
0.01,0.01,16.009999999999998,3.01,12.01,1.1535064935064934
0.01,0.01,13.01,4.01,14.01,1.1739822595704947
2.01,0.01,14.01,0.01,15.01,1.3278571428571428
0.01,0.01,20.009999999999998,1.01,13.01,0.22666666666666668
1.01,0.01,11.01,2.01,17.009999999999998,0.6477917833800186
0.01,2.01,9.01,2.01,13.01,1.3179976495268848
0.01,0.01,18.009999999999998,2.01,7.01,1.0630020703933747
0.01,0.01,16.009999999999998,1.01,8.01,1.1821611721611722
1.01,0.01,13.01,2.01,12.01,0.3584848484848485
0.01,0.01,8.01,1.01,13.01,0.7522077922077922
0.01,0.01,11.01,1.01,12.01,0.2125
0.01,0.01,20.009999999999998,2.01,13.01,1.3078807684690037
1.01,0.01,17.009999999999998,1.01,13.01,0.7727917833800186
2.01,0.01,11.01,0.01,16.009999999999998,1.5267855020796197
0.01,1.01,15.01,2.01,17.009999999999998,1.219102009102009
1.01,0.01,14.01,4.01,13.01,1.4008336761277935
0.01,2.01,12.01,1.01,9.01,1.2362626262626262
2.01,0.01,14.01,5.01,17.009999999999998,1.0285897435897435
1.01,0.01,16.009999999999998,4.01,20.009999999999998,0.3225
0.01,0.01,15.01,0.01,20.009999999999998,0.7706893106893107
0.01,0.01,12.01,0.01,21.009999999999998,1.002002442002442
0.01,0.01,12.01,0.01,15.01,0.9664644137224783
