in_comm,directed_rnbrw,backtrack,zigzag,zigzag_cycle,weighted_zigzag
False,0.01,0.01,0.01,31.009999999999998,1.002331848910796
False,0.01,0.01,2.01,37.01,0.6356413010278446
False,0.01,0.01,0.01,33.01,0.8554358321464377
False,0.01,0.01,1.01,28.009999999999998,0.8773162651064504
True,0.01,0.01,0.01,33.01,0.7599970363825621
False,0.01,0.01,0.01,43.01,0.7161521801876362
False,1.01,1.01,2.01,28.009999999999998,1.1541945542389966
False,0.01,0.01,3.01,39.01,0.9378355416513311
False,0.01,0.01,5.01,23.009999999999998,1.0183046990125464
True,1.01,2.01,2.01,30.009999999999998,1.0990602352558874
False,0.01,0.01,4.01,41.01,1.0246383234861525
False,0.01,0.01,0.01,32.01,1.0970397920397919
False,0.01,0.01,1.01,34.01,1.100177239621044
False,0.01,0.01,1.01,42.01,0.9634396859212477
False,0.01,0.01,0.01,34.01,0.9910852776430977
False,0.01,0.01,1.01,40.01,0.65120269994883
False,0.01,1.01,1.01,31.009999999999998,0.650102536938586
False,0.01,0.01,0.01,26.009999999999998,0.7902060414933414
False,0.01,0.01,0.01,33.01,1.1312489980443272
False,0.01,1.01,0.01,39.01,0.9774298768619254
True,1.01,0.01,0.01,35.01,0.9852385452363794
False,0.01,0.01,2.01,36.01,0.8094672469612115
False,0.01,0.01,1.01,24.009999999999998,0.7962017371668954
False,0.01,0.01,1.01,29.009999999999998,0.7779867890633858
False,3.01,3.01,1.01,34.01,1.1253583538064962
False,0.01,2.01,2.01,35.01,1.0626062343357738
False,0.01,1.01,3.01,38.01,0.813667618613271
False,0.01,1.01,0.01,34.01,1.081253147723736
False,0.01,0.01,1.01,31.009999999999998,1.5564234198579552
False,0.01,0.01,3.01,44.01,0.6726489699070344
False,0.01,0.01,0.01,29.009999999999998,0.6660497439491166
False,0.01,0.01,0.01,28.009999999999998,0.9409060004479566
False,0.01,0.01,1.01,42.01,0.9078438228438227
False,0.01,0.01,0.01,37.01,1.066049662445658
True,0.01,0.01,0.01,39.01,1.4610185209742277
